LDA6Topic4,LDA9Topic2,LDA11Topic4,LDA11Topic10,LDA12Topic1,LDA12Topic2,LDA12Topic6,LDA12Topic11,LDA13Topic11,LDA14Topic10,LDA17Topic7,LDA17Topic12,LDA19Topic15
0.112903226,0.322751323,0.267015707,0.476439791,0.005208333,0.005208333,0.005208333,0.005208333,0.005181347,0.005154639,0.005076142,0.005076142,0.005025126
0.807692308,0.034482759,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.025641026
0.87244898,0.005025126,0.004975124,0.004975124,0.004950495,0.004950495,0.004950495,0.004950495,0.004926108,0.004901961,0.004830918,0.004830918,0.004784689
0.209183673,0.005025126,0.751243781,0.004975124,0.004950495,0.004950495,0.004950495,0.004950495,0.004926108,0.004901961,0.004830918,0.004830918,0.004784689
0.924242424,0.014492754,0.014084507,0.014084507,0.013888889,0.013888889,0.013888889,0.013888889,0.01369863,0.013513514,0.012987013,0.012987013,0.012658228
0.066455696,0.567398119,0.003115265,0.003115265,0.00310559,0.00310559,0.406832298,0.00310559,0.003095975,0.49691358,0.003058104,0.003058104,0.003039514
0.539473684,0.012658228,0.012345679,0.012345679,0.012195122,0.012195122,0.012195122,0.37804878,0.253012048,0.011904762,0.011494253,0.011494253,0.011235955
0.0625,0.052631579,0.047619048,0.047619048,0.045454545,0.045454545,0.045454545,0.045454545,0.043478261,0.041666667,0.037037037,0.037037037,0.034482759
0.00862069,0.008403361,0.834710744,0.008264463,0.090163934,0.008196721,0.008196721,0.008196721,0.008130081,0.088709677,0.086614173,0.007874016,0.007751938
0.891304348,0.020408163,0.019607843,0.019607843,0.019230769,0.019230769,0.019230769,0.019230769,0.018867925,0.018518519,0.01754386,0.01754386,0.016949153
0.407894737,0.012658228,0.012345679,0.012345679,0.012195122,0.012195122,0.012195122,0.5,0.012048193,0.011904762,0.011494253,0.011494253,0.011235955
0.554794521,0.409395973,0.072847682,0.006622517,0.006578947,0.006578947,0.006578947,0.006578947,0.006535948,0.006493506,0.006369427,0.006369427,0.06918239
0.135638298,0.477572559,0.317585302,0.160104987,0.002617801,0.002617801,0.002617801,0.002617801,0.002610966,0.2109375,0.002583979,0.002583979,0.002570694
0.484126984,0.007751938,0.160305344,0.007633588,0.007575758,0.007575758,0.007575758,0.007575758,0.007518797,0.007462687,0.00729927,0.00729927,0.294964029
0.807692308,0.034482759,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.025641026
0.017857143,0.86440678,0.016393443,0.016393443,0.016129032,0.016129032,0.016129032,0.016129032,0.015873016,0.015625,0.76119403,0.014925373,0.014492754
0.017857143,0.016949153,0.180327869,0.016393443,0.016129032,0.016129032,0.016129032,0.016129032,0.015873016,0.171875,0.014925373,0.014925373,0.449275362
0.004065041,0.526104418,0.003984064,0.282868526,0.003968254,0.003968254,0.281746032,0.003968254,0.003952569,0.003937008,0.120622568,0.003891051,0.003861004
0.0625,0.052631579,0.047619048,0.047619048,0.5,0.045454545,0.045454545,0.045454545,0.043478261,0.041666667,0.037037037,0.037037037,0.034482759
0.196428571,0.016949153,0.344262295,0.016393443,0.016129032,0.016129032,0.016129032,0.016129032,0.015873016,0.015625,0.014925373,0.611940299,0.014492754
0.013157895,0.012658228,0.012345679,0.012345679,0.012195122,0.012195122,0.012195122,0.012195122,0.012048193,0.011904762,0.011494253,0.011494253,0.797752809
0.525862069,0.008403361,0.008264463,0.008264463,0.008196721,0.008196721,0.008196721,0.418032787,0.414634146,0.008064516,0.007874016,0.007874016,0.007751938
0.02173913,0.836734694,0.803921569,0.019607843,0.019230769,0.019230769,0.019230769,0.019230769,0.018867925,0.574074074,0.192982456,0.01754386,0.016949153
0.6875,0.052631579,0.047619048,0.047619048,0.045454545,0.045454545,0.045454545,0.045454545,0.043478261,0.041666667,0.037037037,0.407407407,0.034482759
0.635416667,0.01010101,0.00990099,0.00990099,0.009803922,0.009803922,0.009803922,0.009803922,0.009708738,0.009615385,0.009345794,0.009345794,0.28440367
0.017857143,0.355932203,0.016393443,0.508196721,0.016129032,0.016129032,0.016129032,0.016129032,0.015873016,0.015625,0.014925373,0.014925373,0.014492754
0.21875,0.212121212,0.00990099,0.207920792,0.009803922,0.303921569,0.009803922,0.107843137,0.009708738,0.009615385,0.009345794,0.009345794,0.009174312
0.150165017,0.001642036,0.001636661,0.836333879,0.001633987,0.001633987,0.001633987,0.034313725,0.001631321,0.001628664,0.001620746,0.001620746,0.001615509
0.038461538,0.034482759,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.538461538
0.027777778,0.025641026,0.024390244,0.024390244,0.023809524,0.023809524,0.023809524,0.738095238,0.023255814,0.022727273,0.021276596,0.021276596,0.020408163
0.013157895,0.012658228,0.012345679,0.012345679,0.865853659,0.012195122,0.012195122,0.012195122,0.012048193,0.011904762,0.011494253,0.011494253,0.011235955
0.038461538,0.034482759,0.35483871,0.032258065,0.03125,0.03125,0.34375,0.03125,0.03030303,0.029411765,0.297297297,0.027027027,0.025641026
0.007936508,0.085271318,0.236641221,0.007633588,0.007575758,0.007575758,0.007575758,0.007575758,0.007518797,0.007462687,0.00729927,0.00729927,0.654676259
0.02173913,0.836734694,0.019607843,0.019607843,0.019230769,0.019230769,0.211538462,0.019230769,0.018867925,0.018518519,0.01754386,0.01754386,0.016949153
0.02173913,0.428571429,0.411764706,0.019607843,0.019230769,0.019230769,0.019230769,0.019230769,0.018867925,0.018518519,0.01754386,0.01754386,0.016949153
0.375,0.355932203,0.508196721,0.016393443,0.016129032,0.016129032,0.016129032,0.016129032,0.015873016,0.015625,0.014925373,0.014925373,0.014492754
0.005376344,0.322751323,0.319371728,0.528795812,0.005208333,0.213541667,0.005208333,0.005208333,0.005181347,0.005154639,0.005076142,0.005076142,0.005025126
0.583333333,0.025641026,0.268292683,0.024390244,0.023809524,0.023809524,0.023809524,0.023809524,0.023255814,0.022727273,0.021276596,0.021276596,0.020408163
0.003623188,0.433691756,0.003558719,0.003558719,0.003546099,0.003546099,0.003546099,0.003546099,0.639575972,0.25,0.003484321,0.003484321,0.003460208
0.0625,0.052631579,0.523809524,0.047619048,0.045454545,0.045454545,0.5,0.045454545,0.043478261,0.458333333,0.037037037,0.037037037,0.034482759
0.010416667,0.01010101,0.00990099,0.00990099,0.009803922,0.009803922,0.598039216,0.009803922,0.009708738,0.009615385,0.009345794,0.009345794,0.100917431
0.015151515,0.014492754,0.436619718,0.014084507,0.013888889,0.013888889,0.013888889,0.013888889,0.01369863,0.013513514,0.012987013,0.012987013,0.012658228
